CODE_INSEE,NOM,CODE_POSTAL
25626,VILLERS ST MARTIN,25110
25629,VOILLANS,25110
25630,VOIRES,25580
26008,ANCONE,26200
26009,ANDANCETTE,26140
26011,AOUSTE SUR SYE,26400
26015,AUBENASSON,26340
26020,LA REPARA AURIPLES,26400
26023,BARBIERES,26300
26024,BARCELONNE,26120
26028,BATHERNAY,26260
26032,LA BAUME CORNILLANE,26120
26047,BELLEGARDE EN DIOIS,26470
26058,BOURG LES VALENCE,26500
26064,CHABEUIL,26120
26074,LA CHAPELLE EN VERCORS,26420
26083,CHATEAUNEUF DE GALAURE,26330
26086,CHATILLON EN DIOIS,26410
26092,CHAVANNES,26260
26093,CLANSAYES,26130
26100,COMBOVIN,26120
26113,DIE,26150
26116,DONZERE,26290
26117,ECHEVIS,26190
26118,EPINOUZE,26210
26128,EYGLUY ESCOULIN,26400
26134,FELINES SUR RIMANDOULE,26160
26142,GLANDAGE,26410
26145,LES GRANGES GONTARDES,26290
26149,HOSTUN,26730
26165,LIVRON SUR DROME,26250
26168,LUS LA CROIX HAUTE,26620
26172,MANTHES,26210
26177,MARSAZ,26260
26179,MERCUROL VEAUNES,26600
26182,MIRABEL AUX BARONNIES,26110
26183,MIRABEL ET BLACONS,26400
26192,MONTBRISON SUR LEZ,26770
26198,MONTELIMAR,26200
26201,MONTGUERS,26170
26203,MONTJOYER,26230
26210,VALHERBASSE,26350
26210,VALHERBASSE,26350
26214,MORNANS,26460
26215,LA MOTTE CHALANCON,26470
26218,MOURS ST EUSEBE,26540
26224,OURCHES,26120
26236,PIERRELONGUE,26170
26241,LE POET CELARD,26460
26262,RECOUBEAU JANSAC,26310
26264,REMUZAT,26510
26268,ROCHEBAUDIN,26160
26279,LA ROCHETTE DU BUIS,26170
26281,ROMANS SUR ISERE,26100
26282,ROMEYER,26150
26284,ROUSSAS,26230
26291,ST ANDEOL,26150
26299,STE CROIX,26150
26305,ST GERVAIS SUR ROUBION,26160
26326,ST RESTITUT,26130
26328,ST SAUVEUR EN DIOIS,26340
26332,ST UZE,26240
26334,SALETTES,26160
26342,SOLERIEUX,26130
26344,SOYANS,26400
26351,LES TONILS,26460
26358,UPIE,26120
26363,VALOUSE,26110
26365,VAUNAVEYS LA ROCHETTE,26400
26369,VERCLAUSE,26510
26370,VERCOIRAN,26170
26371,VERONNE,26340
26377,VINSOBRES,26110
26380,GERVANS,26600
27003,ACQUIGNY,27400
27012,AMFREVILLE LES CHAMPS,27380
27019,ARMENTIERES SUR AVRE,27820
27020,ARNIERES SUR ITON,27180
27022,LE VAL D HAZEY,27600
27023,AULNAY SUR ITON,27180
27026,AUTHEVERNES,27420
27027,LES AUTHIEUX,27220
27032,CHAMBOIS,27240
27032,CHAMBOIS,27240
27039,BARNEVILLE SUR SEINE,27310
27049,MESNIL EN OUCHE,27330
27049,MESNIL EN OUCHE,27410
